ID,Address,Job Number,Job Name,Latitude,Longitude,Radius,Tags,Notes,Type
23829064,"W Stanislaus Ave, Kerman, CA 93630, USA",CCTC20,THE CROSSING II,36.730764,-120.053792,250,"Central Valley,Julio Garcia",CCTC20 THE CROSSING II,Normal Geofence
23967085,"Senegal Way, California, USA",TPSE00,TRI POINTE,38.67541,-121.021019,250,"Sacramento,Jose Hermosillo",TPSE00 TRI POINTE,Normal Geofence
23967687,"Hanford Elementary School District, California 93230",SJHO00,SAN JOAQUIN HIDDEN OAKS,36.332633,-119.639907,250,"Central Valley,Julio Garcia",SJHO00 SAN JOAQUIN HIDDEN OAKS,Normal Geofence
23976951,"Overland Ave & Place Rd, Los Banos, CA 93635, USA",DRMV30,MISSION III,37.073312,-120.82629,250,"Central Valley,Albert Sanchotena",DRMV30 MISSION III,Normal Geofence
23976987,"El Cerro Dr & Hillcrest Rd, California 95023, USA",TMCVHR,CERRO VERDE,36.84732,-121.379299,250,"Central Valley,Albert Sanchotena",TMCVHR CERRO VERDE,Normal Geofence
23977096,"Willmott Rd & Wisteria Ave, Los Banos, CA 93635, USA",UCSV00,SHAUNESSY VILLAGE,37.069172,-120.832242,250,"Central Valley,Albert Sanchotena",UCSV00 SHAUNESSY VILLAGE,Normal Geofence
23977143,"Merced, CA, USA",LEMCHO,MORAGA CHATEAU,37.302163,-120.482968,250,"Central Valley,Andres Rodriguez",LEMCHO MORAGA CHATEAU,Normal Geofence
23982493,"Mountain Ridge Dr & McCutchen Rd, Bakersfield, CA 93313, USA",DRCH00,CANTERBURY HEIGHTS,35.283629,-119.067859,250,"Central Valley,Julio Garcia",DRCH00 CANTERBURY HEIGHTS,Normal Geofence
23982528,"6245 N Polk Ave, Fresno, CA 93722, USA",BO6280,EL PASEO PARK PLACE (TRAC),36.825594,-119.890179,250,"Central Valley,Julio Garcia",BO6280 EL PASEO PARK PLACE (TRAC),Normal Geofence
23982760,"1753 N Locan Ave, Clovis, CA 93619, USA",GH6239,TRACT 6239,36.861728,-119.656747,250,"Central Valley,Billy Davis",GH6239 TRACT 6239,Normal Geofence
23996656,"W Monterey Ave, Kerman, CA 93630, USA",CCBP00,BELLA PALMA,36.728056,-120.078816,250,"Central Valley,Julio Contreras",CCBP00 BELLA PALMA,Normal Geofence
24085398,"Avenue 26 & Fig Tree Rd, Chowchilla, CA 93610, USA",CCPR00,PHEASANT RUN,37.127336,-120.247956,250,"Central Valley,Albert Sanchotena",CCPR00 PHEASANT RUN,Normal Geofence
24088397,"Front St & LUPINE ST Armona, CA, USA",EMC756,TRACT756,36.316314,-119.705557,250,"Central Valley,Silvano Sanchez",EMC756 TRACT756,Normal Geofence
24088408,"3611 S Northpointe Dr, Fresno, CA 93725, USA",G3NP31,NORTH POINT BLG31,36.686943,-119.768092,250,"Central Valley,Silvano Sanchez",G3NP31 NORTH POINT BLG31,Normal Geofence
24088505,"N Chestnut Ave & E Copper Ave, California 93619, USA",GH6106,TRACT 6106,36.895724,-119.738604,250,"Central Valley,Silvano Sanchez",GH6106 TRACT 6106,Normal Geofence
24088529,"N Reed Ave & W Parlier Ave, Reedley, CA 93654, USA",JC61P2,TRACT 6196 PHASE2,36.611452,-119.457695,250,"Central Valley,Silvano Sanchez",JC61P2 TRACT 6196 PHASE2,Normal Geofence
24112200,"Del Mar Ave & E Main St, Garden Acres, CA 95215, USA",DRSL20,SOLARI RANCH II,37.955861,-121.226652,250,"Sacramento,Gerardo Omar Hernandez JR",DRSL20 SOLARI RANCH II,Normal Geofence
24112803,"Berkshire Rd & Ashe Rd, Bakersfield, CA 93313, USA",DRCBR0,CANTERBURY RIDGE,35.28885,-119.074399,250,Central Valley,DRCBR0 CANTERBURY RIDGE,Normal Geofence
24147462,"Patagonia Way & Sucre Pl, Bakersfield, CA 93306, USA",KVLA20,LANTANA 2,35.408666,-118.882154,250,Central Valley,KVLA20 LANTANA 2,Normal Geofence
24182490,"Liberty Island Rd & McCormack Rd, Rio Vista, CA 94571, USA",LGTS20,LIBERTY SUMMIT II,38.199738,-121.720567,250,"Sacramento,Gerardo Omar Hernandez JR",LGTS20 LIBERTY SUMMIT II,Normal Geofence
24288316,"San Luis St & Place Rd, Los Banos, CA 93635, USA",CCSRS0,SUNRISE RANCH SILHOUTTE,37.061694,-120.826448,250,Central Valley,CCSRS0 SUNRISE RANCH SILHOUTTE,Normal Geofence
24288352,"E Mission Ave & S G St, Merced, CA 95341, USA",DRSS20,STONERIDGE SOUTH II,37.273608,-120.483267,250,"Central Valley,Andres Rodriguez",DRSS20 STONERIDGE SOUTH II,Normal Geofence
24314560,"36.328514,-119.360688",SJTRH2,TIFFANYRANCH SOUTH LAND UNIT2,36.328514,-119.360688,250,"Central Valley,Billy Davis",SJTRH2 TIFFANYRANCH SOUTH LAND UNIT2,Normal Geofence
24314672,"Mooney Blvd & Tulare Ave - Time Out Pizza Waterpark, Tulare, CA 93274",DROCP1,OAK CREEK,36.21239,-119.312911,250,"Central Valley,Billy Davis",DROCP1 OAK CREEK,Normal Geofence
24315778,"36.793143,-119.628674",WH6255,TRACT 625,36.793143,-119.628674,250,"Central Valley,Billy Davis",WH6255 TRACT 625,Normal Geofence
24315796,"36.845416,-119.741273",BJRR00,ROCK RANC,36.845416,-119.741273,250,"Central Valley,Billy Davis",BJRR00 ROCK RANC,Normal Geofence
